segment_id,label,ch1_mean,ch1_std,ch1_min,ch1_max,ch1_rms,ch1_peak_to_peak,ch2_mean,ch2_std,ch2_min,ch2_max,ch2_rms,ch2_peak_to_peak
4081,Other,0.10107504730513339,0.014155175100366865,0.0495940914362449,0.160227064640176,0.1020614235147492,0.11063297320393109,2.0715719038027207,0.014580177274093064,2.01428309833364,2.12491607153757,2.0716232124095764,0.11063297320392973
4082,Other,0.10113684917292319,0.013992362445379583,0.0457791613257645,0.148782274308735,0.10210018838096961,0.1030031129829705,2.0709462552646016,0.014522708393695462,2.01809802844412,2.12110114142709,2.070997175578365,0.10300311298296982
4083,Other,0.1008049502533114,0.013964621136298839,0.0534090215467253,0.148782274308735,0.10176762077916998,0.0953732527620097,2.0711957516938275,0.01468690691083191,2.0219129585546,2.12491607153757,2.071247823672765,0.10300311298296982
4084,Other,0.10090947933833855,0.013897041397739528,0.0495940914362449,0.160227064640176,0.10186192016619881,0.11063297320393109,2.0714360922907877,0.014566167546638887,2.0219129585546,2.12110114142709,2.0714873057013707,0.09918818287248987
4085,Other,0.10063404138436188,0.013934347002403888,0.0534090215467253,0.152597204419215,0.10159417459546025,0.0991881828724897,2.071104956357198,0.01455759077164042,2.01428309833364,2.12491607153757,2.0711561176542017,0.11063297320392973
4086,Other,0.1003952267594458,0.014028723284660335,0.0495940914362449,0.148782274308735,0.10137063989675765,0.0991881828724901,2.071069096014159,0.014397619502834557,2.0219129585546,2.12491607153757,2.0711191399608704,0.10300311298296982
4087,Other,0.10083928462430572,0.013691445697564338,0.0457791613257645,0.144967344198254,0.1017645174352588,0.0991881828724895,2.071335378135871,0.014692471690526222,2.0219129585546,2.12491607153757,2.071387486068613,0.10300311298296982
4088,Other,0.10086980406518957,0.014059503161895227,0.0457791613257645,0.152597204419215,0.10184491642349694,0.10681804309345051,2.071501709088688,0.014606847820000188,2.0219129585546,2.12491607153757,2.071553207320679,0.10300311298296982
4089,Other,0.10085835927485812,0.014042949549349489,0.0495940914362449,0.148782274308735,0.1018312970930938,0.0991881828724901,2.071089696636756,0.01433126195290776,2.0219129585546,2.12491607153757,2.0711392798612294,0.10300311298296982
4090,Other,0.10063480437038397,0.013771320353597278,0.0419642312152841,0.152597204419215,0.10157269866921355,0.11063297320393091,2.070733382164437,0.014372959762697594,2.01428309833364,2.12110114142709,2.070783262918287,0.10681804309344978
4091,Other,0.10053866813159987,0.014110025332448666,0.0457791613257645,0.148782274308735,0.10152397059098071,0.1030031129829705,2.0707913691021163,0.014751504663217757,2.0219129585546,2.13254593175853,2.0708439103992475,0.11063297320392973
4092,Other,0.1008606482329244,0.01407487195343054,0.0495940914362449,0.156412134529695,0.1018379712213042,0.10681804309345008,2.070964566929132,0.014646738017084842,2.02572788866508,2.12491607153757,2.0710163602469462,0.09918818287248987
